product_id,product_type,tag_name,product_review_count,mention_count,advantage_count,problem_count,confidence,advantage_support,problem_pressure,source_method
sample_product_03,智能宠物猫砂盆,佩戴/舒适,120,4,0,0,0.5286,0.0974,0.019,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,噪音/静音,120,11,5,0,0.8162,0.3818,0.0082,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,安全风险,120,14,12,0,0.8895,0.7406,0.0388,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,定位/信号,120,2,0,0,0.3608,0.0,0.0612,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,宠物兴趣,120,22,12,2,1.0,0.5304,0.0872,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,容量/空间,120,57,21,0,1.0,0.3472,0.0024,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,性价比,120,28,8,0,1.0,0.3094,0.0134,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,清洁/拆洗,120,17,13,1,0.9494,0.6521,0.0389,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,漏水/密封,120,16,2,1,0.9306,0.0887,0.0396,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,画质/夜视,120,3,0,0,0.4553,0.0413,0.0138,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,稳定/卡顿,120,13,3,3,0.8668,0.1955,0.2694,rule_sentence_keyword
sample_product_03,智能宠物猫砂盆,联网/APP,120,20,1,0,1.0,0.0853,0.0081,rule_sentence_keyword
sample_product_06,智能逗猫器,佩戴/舒适,120,3,0,2,0.4553,0.0553,0.1806,rule_sentence_keyword
sample_product_06,智能逗猫器,噪音/静音,120,29,2,10,1.0,0.1344,0.3072,rule_sentence_keyword
sample_product_06,智能逗猫器,安全风险,120,8,8,0,0.7217,0.5881,0.0352,rule_sentence_keyword
sample_product_06,智能逗猫器,宠物兴趣,120,106,51,3,1.0,0.4735,0.0304,rule_sentence_keyword
sample_product_06,智能逗猫器,性价比,120,3,1,2,0.4553,0.1708,0.1035,rule_sentence_keyword
sample_product_06,智能逗猫器,画质/夜视,120,3,0,1,0.4553,0.1251,0.1851,rule_sentence_keyword
sample_product_06,智能逗猫器,稳定/卡顿,120,3,0,3,0.4553,0.0296,0.3369,rule_sentence_keyword
sample_product_05,智能宠物饮水机,佩戴/舒适,101,3,2,0,0.4553,0.2302,0.04,rule_sentence_keyword
sample_product_05,智能宠物饮水机,噪音/静音,101,25,17,0,1.0,0.6353,0.0083,rule_sentence_keyword
sample_product_05,智能宠物饮水机,安全风险,101,8,6,2,0.7217,0.5964,0.1002,rule_sentence_keyword
sample_product_05,智能宠物饮水机,宠物兴趣,101,46,21,6,1.0,0.4474,0.1183,rule_sentence_keyword
sample_product_05,智能宠物饮水机,容量/空间,101,11,6,0,0.8162,0.3708,0.0055,rule_sentence_keyword
sample_product_05,智能宠物饮水机,性价比,101,23,7,1,1.0,0.3399,0.0449,rule_sentence_keyword
sample_product_05,智能宠物饮水机,清洁/拆洗,101,20,6,0,1.0,0.3018,0.0035,rule_sentence_keyword
sample_product_05,智能宠物饮水机,漏水/密封,101,2,2,0,0.3608,0.1518,0.0745,rule_sentence_keyword
sample_product_05,智能宠物饮水机,画质/夜视,101,1,0,0,0.2277,0.027,0.009,rule_sentence_keyword
sample_product_05,智能宠物饮水机,稳定/卡顿,101,11,4,6,0.8162,0.321,0.3511,rule_sentence_keyword
sample_product_05,智能宠物饮水机,联网/APP,101,3,1,0,0.4553,0.0967,0.0112,rule_sentence_keyword
sample_product_01,智能宠物喂食器,噪音/静音,118,4,0,0,0.5286,0.0812,0.0081,rule_sentence_keyword
sample_product_01,智能宠物喂食器,安全风险,118,2,0,1,0.3608,0.2773,0.0379,rule_sentence_keyword
sample_product_01,智能宠物喂食器,定位/信号,118,4,0,0,0.5286,0.0,0.0629,rule_sentence_keyword
sample_product_01,智能宠物喂食器,宠物兴趣,118,10,5,1,0.7876,0.3804,0.0556,rule_sentence_keyword
sample_product_01,智能宠物喂食器,容量/空间,118,22,10,0,1.0,0.4386,0.0036,rule_sentence_keyword
sample_product_01,智能宠物喂食器,性价比,118,34,12,0,1.0,0.3862,0.0082,rule_sentence_keyword
sample_product_01,智能宠物喂食器,清洁/拆洗,118,3,3,0,0.4553,0.3099,0.0035,rule_sentence_keyword
sample_product_01,智能宠物喂食器,漏水/密封,118,17,0,0,0.9494,0.0538,0.0404,rule_sentence_keyword
sample_product_01,智能宠物喂食器,画质/夜视,118,56,17,1,1.0,0.2961,0.0192,rule_sentence_keyword
sample_product_01,智能宠物喂食器,稳定/卡顿,118,52,28,16,1.0,0.5311,0.3029,rule_sentence_keyword
sample_product_01,智能宠物喂食器,联网/APP,118,47,9,4,1.0,0.2095,0.0838,rule_sentence_keyword
sample_product_04,智能宠物项圈,佩戴/舒适,120,28,7,2,1.0,0.2477,0.0614,rule_sentence_keyword
sample_product_04,智能宠物项圈,噪音/静音,120,10,1,0,0.7876,0.1249,0.0259,rule_sentence_keyword
sample_product_04,智能宠物项圈,安全风险,120,20,20,0,1.0,0.919,0.0574,rule_sentence_keyword
sample_product_04,智能宠物项圈,定位/信号,120,103,11,5,1.0,0.1057,0.0519,rule_sentence_keyword
sample_product_04,智能宠物项圈,宠物兴趣,120,17,1,1,0.9494,0.1091,0.0636,rule_sentence_keyword
sample_product_04,智能宠物项圈,容量/空间,120,2,1,0,0.3608,0.2072,0.0161,rule_sentence_keyword
sample_product_04,智能宠物项圈,性价比,120,13,5,0,0.8668,0.34,0.0246,rule_sentence_keyword
sample_product_04,智能宠物项圈,清洁/拆洗,120,6,6,0,0.6392,0.6244,0.0,rule_sentence_keyword
sample_product_04,智能宠物项圈,画质/夜视,120,6,3,0,0.6392,0.2489,0.0307,rule_sentence_keyword
sample_product_04,智能宠物项圈,稳定/卡顿,120,9,6,1,0.7563,0.4415,0.1311,rule_sentence_keyword
sample_product_04,智能宠物项圈,联网/APP,120,42,5,0,1.0,0.1222,0.0079,rule_sentence_keyword
sample_product_02,智能宠物摄像头,噪音/静音,120,6,1,1,0.6392,0.0866,0.0683,rule_sentence_keyword
sample_product_02,智能宠物摄像头,安全风险,120,11,11,0,0.8162,0.7719,0.0181,rule_sentence_keyword
sample_product_02,智能宠物摄像头,定位/信号,120,6,0,1,0.6392,0.0042,0.1273,rule_sentence_keyword
sample_product_02,智能宠物摄像头,宠物兴趣,120,5,2,0,0.5885,0.185,0.0204,rule_sentence_keyword
sample_product_02,智能宠物摄像头,容量/空间,120,10,8,1,0.7876,0.5768,0.0439,rule_sentence_keyword
sample_product_02,智能宠物摄像头,性价比,120,29,18,0,1.0,0.5992,0.009,rule_sentence_keyword
sample_product_02,智能宠物摄像头,清洁/拆洗,120,5,5,0,0.5885,0.5885,0.0,rule_sentence_keyword
sample_product_02,智能宠物摄像头,画质/夜视,120,92,37,2,1.0,0.3884,0.0223,rule_sentence_keyword
sample_product_02,智能宠物摄像头,稳定/卡顿,120,28,24,0,1.0,0.7894,0.0356,rule_sentence_keyword
sample_product_02,智能宠物摄像头,联网/APP,120,51,12,1,1.0,0.229,0.028,rule_sentence_keyword
